,,Iteração,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,Média ± Desvio Padrão
n,25,0.000003s,0.000002s,0.000001s,0.000001s,0.000001s,0.000001s,0.000001s,0.000001s,0.000001s,0.000001s,0.000001s ± 0.000001s
,100,0.000003s,0.000002s,0.000002s,0.000002s,0.000002s,0.000002s,0.000003s,0.000003s,0.000003s,0.000003s,0.000002s ± 0.000001s
,1000,0.000071s,0.000049s,0.000049s,0.000049s,0.000049s,0.000051s,0.000049s,0.000051s,0.000048s,0.000051s,0.000052s ± 0.000007s
,10000,0.000415s,0.000340s,0.000381s,0.000351s,0.000373s,0.000378s,0.000364s,0.000363s,0.000384s,0.000366s,0.000372s ± 0.000019s
