,,Iteração,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,Média ± Desvio Padrão
n,25,0.000003,0.000002,0.000002,0.000001,0.000001,0.000002,0.000002,0.000001,0.000001,0.000001,0.000002 ± 0.000001
,100,0.000009,0.000008,0.000008,0.000008,0.000007,0.000007,0.000007,0.000007,0.000007,0.000007,0.000007 ± 0.000001
,1000,0.000125,0.000124,0.000127,0.000124,0.000125,0.000128,0.000127,0.000127,0.000128,0.000128,0.000126 ± 0.000002
,10000,0.001698,0.001679,0.001631,0.001630,0.001631,0.001662,0.001629,0.001730,0.001737,0.001676,0.001670 ± 0.000039
