,,Iteração,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,Média ± Desvio Padrão
n,25,0.000003,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000002,0.000001 ± 0.000001
,100,0.000006,0.000007,0.000006,0.000007,0.000006,0.000007,0.000006,0.000006,0.000006,0.000006,0.000006 ± 0.000000
,1000,0.000075,0.000074,0.000076,0.000077,0.000074,0.000073,0.000076,0.000076,0.000076,0.000074,0.000075 ± 0.000001
,10000,0.000873,0.000864,0.000861,0.000884,0.000861,0.000859,0.000885,0.000867,0.000910,0.000905,0.000877 ± 0.000018
