,,Iteração,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,Média ± Desvio Padrão
n,25,0.000002,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0.000002,0.000001,0.000001,0.000001 ± 0.000000
,100,0.000007,0.000006,0.000007,0.000007,0.000006,0.000006,0.000006,0.000007,0.000007,0.000007,0.000007 ± 0.000000
,1000,0.000083,0.000082,0.000082,0.000082,0.000082,0.000082,0.000082,0.000081,0.000081,0.000082,0.000082 ± 0.000001
,10000,0.000942,0.000927,0.000926,0.000925,0.000932,0.000930,0.000925,0.000926,0.000902,0.000931,0.000927 ± 0.000010
