,,Iteração,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,Média ± Desvio Padrão
n,25,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001 ± 0.000000
,100,0.000013,0.000013,0.000014,0.000014,0.000014,0.000014,0.000013,0.000013,0.000013,0.000013,0.000013 ± 0.000000
,1000,0.001216,0.001205,0.001244,0.001245,0.001257,0.001205,0.001292,0.001250,0.001248,0.001210,0.001237 ± 0.000027
,10000,0.114358,0.112940,0.114833,0.114948,0.115083,0.114772,0.115196,0.114187,0.115321,0.115632,0.114727 ± 0.000721
