,,Iteração,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,Média ± Desvio Padrão
n,25,0.002453s,0.000013s,0.000008s,0.000006s,0.000009s,0.000007s,0.000007s,0.000007s,0.000007s,0.000007s,0.000252s ± 0.000734s
,100,0.000018s,0.000016s,0.000016s,0.000015s,0.000018s,0.000015s,0.000015s,0.000016s,0.000015s,0.000015s,0.000016s ± 0.000001s
,1000,0.000139s,0.000162s,0.000131s,0.000132s,0.000131s,0.000132s,0.000150s,0.000132s,0.000145s,0.000133s,0.000139s ± 0.000010s
,10000,0.001223s,0.001219s,0.001268s,0.001281s,0.001341s,0.001540s,0.001346s,0.001269s,0.001262s,0.001253s,0.001300s ± 0.000089s
