,,Iteração,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,Média ± Desvio Padrão
n,25,0.000001,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001 ± 0.000000
,100,0.000009,0.000010,0.000009,0.000010,0.000009,0.000010,0.000009,0.000009,0.000009,0.000010,0.000009 ± 0.000000
,1000,0.000716,0.000728,0.000717,0.000723,0.000695,0.000690,0.000757,0.000722,0.000721,0.000714,0.000718 ± 0.000017
,10000,0.052790,0.052653,0.052821,0.052902,0.053070,0.053324,0.053065,0.053045,0.053147,0.052802,0.052962 ± 0.000192
