,,Iteração,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,Média ± Desvio Padrão
n,25,0.000003s,0.000002s,0.000002s,0.000003s,0.000001s,0.000001s,0.000001s,0.000002s,0.000001s,0.000001s,0.000002s ± 0.000001s
,100,0.000012s,0.000008s,0.000007s,0.000007s,0.000006s,0.000005s,0.000004s,0.000004s,0.000004s,0.000004s,0.000006s ± 0.000002s
,1000,0.000102s,0.000099s,0.000096s,0.000112s,0.000110s,0.000103s,0.000087s,0.000085s,0.000084s,0.000084s,0.000096s ± 0.000010s
,10000,0.001272s,0.001294s,0.001233s,0.001262s,0.001218s,0.001330s,0.001224s,0.001296s,0.001312s,0.001046s,0.001249s ± 0.000076s
