,,Iteração,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,Média ± Desvio Padrão
n,25,0.000001,0.000001,0.000001,0.000002,0.000001,0.000001,0.000001,0.000001,0.000002,0.000001,0.000001 ± 0.000000
,100,0.000005,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004 ± 0.000000
,1000,0.000054,0.000049,0.000053,0.000055,0.000054,0.000052,0.000049,0.000051,0.000051,0.000052,0.000052 ± 0.000002
,10000,0.000534,0.000554,0.000579,0.000563,0.000547,0.000588,0.000551,0.000544,0.000554,0.000547,0.000556 ± 0.000016
