,,Iteração,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,Média ± Desvio Padrão
n,25,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000 ± 0.000000
,100,0.000000,0.000000,0.000001,0.000000,0.000001,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000 ± 0.000000
,1000,0.000003,0.000004,0.000003,0.000003,0.000004,0.000004,0.000003,0.000004,0.000003,0.000003,0.000003 ± 0.000000
,10000,0.000030,0.000032,0.000030,0.000031,0.000031,0.000031,0.000030,0.000031,0.000031,0.000032,0.000031 ± 0.000001
