,,Iteração,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,Média ± Desvio Padrão
n,25,0.000002,0.000001,0.000002,0.000001,0.000002,0.000002,0.000002,0.000002,0.000002,0.000001,0.000002 ± 0.000000
,100,0.000020,0.000020,0.000021,0.000020,0.000020,0.000021,0.000021,0.000020,0.000020,0.000021,0.000020 ± 0.000000
,1000,0.001870,0.001870,0.001978,0.001923,0.001924,0.001877,0.001925,0.001923,0.001923,0.001898,0.001911 ± 0.000032
,10000,0.183164,0.181672,0.183323,0.183900,0.184189,0.184203,0.202470,0.183466,0.184417,0.184658,0.185546 ± 0.005699
