,,Iteração,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,Média ± Desvio Padrão
n,25,0.000014s,0.000009s,0.000008s,0.000008s,0.000008s,0.000008s,0.000008s,0.000008s,0.000008s,0.000008s,0.000009s ± 0.000002s
,100,0.000027s,0.000025s,0.000024s,0.000024s,0.000024s,0.000024s,0.000025s,0.000024s,0.000023s,0.000024s,0.000024s ± 0.000001s
,1000,0.000174s,0.000171s,0.000175s,0.000177s,0.000186s,0.000171s,0.000183s,0.000170s,0.000172s,0.000170s,0.000175s ± 0.000005s
,10000,0.001758s,0.002064s,0.001803s,0.001765s,0.001755s,0.001792s,0.001762s,0.001720s,0.001791s,0.001752s,0.001796s ± 0.000092s
