,,Iteração,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,Média ± Desvio Padrão
n,25,0.000002,0.000002,0.000001,0.000001,0.000001,0.000000,0.000000,0.000001,0.000001,0.000001,0.000001 ± 0.000001
,100,0.000008,0.000007,0.000007,0.000006,0.000007,0.000006,0.000007,0.000006,0.000006,0.000006,0.000007 ± 0.000001
,1000,0.000130,0.000129,0.000132,0.000128,0.000127,0.000132,0.000132,0.000132,0.000132,0.000132,0.000131 ± 0.000002
,10000,0.001893,0.001898,0.001947,0.001936,0.001925,0.001888,0.001936,0.001899,0.001951,0.001894,0.001917 ± 0.000023
