,,Iteração,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,Média ± Desvio Padrão
n,25,0.000003,0.000002,0.000002,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001 ± 0.000001
,100,0.000021,0.000020,0.000019,0.000019,0.000019,0.000020,0.000020,0.000019,0.000019,0.000019,0.000020 ± 0.000001
,1000,0.001710,0.001679,0.001675,0.001714,0.001664,0.001730,0.001727,0.001700,0.001720,0.001729,0.001705 ± 0.000023
,10000,0.248693,0.249377,0.249313,0.249071,0.249821,0.247912,0.247047,0.247549,0.251335,0.250315,0.249043 ± 0.001236
