,,Iteração,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,Média ± Desvio Padrão
n,25,0.000002,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001 ± 0.000000
,100,0.000008,0.000007,0.000006,0.000006,0.000005,0.000006,0.000006,0.000006,0.000006,0.000006,0.000006 ± 0.000001
,1000,0.000126,0.000124,0.000124,0.000124,0.000125,0.000124,0.000126,0.000124,0.000125,0.000128,0.000125 ± 0.000001
,10000,0.001400,0.001398,0.001392,0.001399,0.001391,0.001393,0.001397,0.001412,0.001394,0.001396,0.001397 ± 0.000006
