,,Iteração,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,Média ± Desvio Padrão
n,25,0.000003,0.000002,0.000002,0.000002,0.000002,0.000003,0.000003,0.000002,0.000002,0.000002,0.000002 ± 0.000000
,100,0.000031,0.000031,0.000030,0.000030,0.000030,0.000030,0.000031,0.000031,0.000031,0.000031,0.000031 ± 0.000000
,1000,0.001746,0.001726,0.001726,0.001723,0.001724,0.001725,0.001725,0.001684,0.001741,0.001723,0.001724 ± 0.000015
,10000,0.164024,0.163394,0.164036,0.163514,0.164913,0.163302,0.163311,0.164074,0.164546,0.163807,0.163892 ± 0.000512
