,,Iteração,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,Média ± Desvio Padrão
n,25,0.000004,0.000003,0.000003,0.000002,0.000002,0.000003,0.000002,0.000003,0.000002,0.000003,0.000003 ± 0.000001
,100,0.000010,0.000010,0.000010,0.000009,0.000009,0.000010,0.000009,0.000010,0.000009,0.000009,0.000010 ± 0.000001
,1000,0.000068,0.000067,0.000066,0.000068,0.000066,0.000066,0.000066,0.000064,0.000066,0.000066,0.000066 ± 0.000001
,10000,0.000784,0.000770,0.000769,0.000771,0.000772,0.000774,0.000782,0.000769,0.000780,0.000770,0.000774 ± 0.000005
