,,Iteração,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,Média ± Desvio Padrão
n,25,0.000002,0.000001,0.000002,0.000002,0.000002,0.000002,0.000002,0.000001,0.000002,0.000001,0.000002 ± 0.000000
,100,0.000020,0.000020,0.000020,0.000020,0.000020,0.000020,0.000020,0.000020,0.000020,0.000020,0.000020 ± 0.000000
,1000,0.001145,0.001107,0.001124,0.001117,0.001112,0.001116,0.001115,0.001087,0.001147,0.001110,0.001118 ± 0.000017
,10000,0.105245,0.102961,0.103161,0.103575,0.103075,0.103447,0.103114,0.103959,0.103652,0.103034,0.103522 ± 0.000651
