,,Iteração,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,Média ± Desvio Padrão
n,25,0.000004,0.000003,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000001,0.000002,0.000002 ± 0.000001
,100,0.000011,0.000011,0.000010,0.000009,0.000008,0.000008,0.000008,0.000009,0.000008,0.000009,0.000009 ± 0.000001
,1000,0.000143,0.000138,0.000138,0.000138,0.000133,0.000133,0.000137,0.000144,0.000139,0.000138,0.000138 ± 0.000003
,10000,0.001316,0.001367,0.001334,0.001343,0.001304,0.001343,0.001314,0.001303,0.001303,0.001370,0.001330 ± 0.000024
